region,year,total_cases,case_change_vs_prev_year,pct_change_vs_prev_year,region_case_rank_in_year,high_crime_region
Rwizi,2021,12375,245.0,2.019785655399835,2.0,1
Rwizi,2021,12286,156.0,1.2860676009892829,2.0,1
Rwizi,2021,12084,-46.0,-0.3792250618301731,2.0,1
Rwizi,2021,10966,-1164.0,-9.596042868920033,2.0,1
Rwizi,2021,12113,-17.0,-0.14014839241549876,2.0,0
Rwizi,2021,12166,36.0,0.2967848309975268,2.0,0
Rwizi,2021,13623,1493.0,12.308326463314097,2.0,1
Rwizi,2021,12013,-117.0,-0.9645507007419621,2.0,1
Rwizi,2021,12312,182.0,1.5004122011541632,2.0,1
Rwizi,2021,12823,693.0,5.713107996702391,2.0,1
Rwizi,2021,12586,456.0,3.7592745259686726,2.0,1
Rwizi,2021,12980,850.0,7.007419620774938,2.0,1
Rwizi,2021,11279,-851.0,-7.015663643858202,2.0,1
Rwizi,2021,11529,-601.0,-4.954657873042045,2.0,0
Rwizi,2021,11786,-344.0,-2.8359439406430336,2.0,1
Rwizi,2021,11189,-941.0,-7.75762572135202,2.0,1
Rwizi,2021,12171,41.0,0.33800494641385,2.0,1
Rwizi,2020,11559,-558.0,-4.60510027234464,1.0,1
Rwizi,2020,13056,939.0,7.749442931418668,1.0,1
Rwizi,2020,11642,-475.0,-3.9201122390030534,1.0,1
Rwizi,2020,11921,-196.0,-1.6175621028307337,1.0,1
Rwizi,2020,12609,492.0,4.060410992820005,1.0,1
Rwizi,2020,11371,-746.0,-6.15663943220269,1.0,1
Rwizi,2020,11143,-974.0,-8.038293306924157,1.0,0
Rwizi,2020,12228,111.0,0.9160683337459767,1.0,1
Rwizi,2020,12274,157.0,1.2957002558389041,1.0,1
Rwizi,2020,12590,473.0,3.903606503259883,1.0,1
Rwizi,2020,12433,316.0,2.607906247420979,1.0,1
Rwizi,2020,12296,179.0,1.4772633490137823,1.0,1
Rwizi,2020,11705,-412.0,-3.400181563093175,1.0,1
Rwizi,2020,12257,140.0,1.1554015020219526,1.0,1
Rwizi,2020,12294,177.0,1.4607576132706115,1.0,0
Rwizi,2020,11684,-433.0,-3.573491788396468,1.0,1
Rwizi,2020,13247,1130.0,9.325740694891476,1.0,1
Rwizi,2020,12404,287.0,2.368573079145003,1.0,1
Rwizi,2020,11526,-591.0,-4.877444912106957,1.0,1
Rwizi,2020,12593,476.0,3.928365106874639,1.0,1
Rwizi,2019,14178,651.0,4.81259702816589,1.0,1
Rwizi,2019,13806,279.0,2.062541583499667,1.0,1
Rwizi,2019,13361,-166.0,-1.2271752790714867,1.0,1
Rwizi,2019,13017,-510.0,-3.770237303171435,1.0,1
Rwizi,2019,13474,-53.0,-0.391808974643306,1.0,1
Rwizi,2019,13757,230.0,1.7003030975086864,1.0,1
Rwizi,2019,13535,8.0,0.05914097730464996,1.0,1
Rwizi,2019,14510,983.0,7.266947586308864,1.0,1
Rwizi,2019,13950,423.0,3.1270791749833666,1.0,1
Rwizi,2019,12947,-580.0,-4.287720854587122,1.0,0
Rwizi,2019,12802,-725.0,-5.3596510682339025,1.0,1
Rwizi,2019,13853,326.0,2.409994825164486,1.0,1
Rwizi,2019,13375,-152.0,-1.1236785687883493,1.0,0
Rwizi,2019,14009,482.0,3.5632438826051596,1.0,1
Rwizi,2019,13847,320.0,2.365639092185998,1.0,1
Rwizi,2019,13477,-50.0,-0.36963110815406225,1.0,1
Rwizi,2019,12954,-573.0,-4.235972499445554,1.0,1
Rwizi,2019,12502,-1025.0,-7.5774377171582765,1.0,1
Rwizi,2019,13671,144.0,1.0645375914836992,1.0,1
Rwizi,2019,12684,-843.0,-6.231980483477489,1.0,1
KMP North,2024,16002,-740.0,-4.420021502807311,2.0,1
KMP North,2024,16870,128.0,0.7645442599450484,2.0,1
KMP North,2024,16790,48.0,0.2867040974793931,2.0,1
KMP North,2024,15785,-957.0,-5.716162943495401,2.0,1
KMP North,2024,17648,906.0,5.411539839923545,2.0,1
KMP North,2024,17624,882.0,5.268187791183849,2.0,1
KMP North,2024,17173,431.0,2.574363875283718,2.0,1
KMP North,2024,17172,430.0,2.568390873252897,2.0,1
KMP North,2024,17173,431.0,2.574363875283718,2.0,1
KMP North,2024,19967,3225.0,19.26293154939673,2.0,1
KMP North,2024,17540,798.0,4.766455620594911,2.0,1
KMP North,2024,17287,545.0,3.2552861067972763,2.0,1
KMP North,2024,16095,-647.0,-3.8645323139409866,2.0,1
KMP North,2024,16543,-199.0,-1.1886274041333174,2.0,0
KMP North,2024,18679,1937.0,11.569704933699677,2.0,1
KMP North,2024,15178,-1564.0,-9.341775176203559,2.0,1
KMP North,2024,16346,-396.0,-2.3653088042049935,2.0,1
KMP North,2024,17653,911.0,5.441404850077649,2.0,1
KMP North,2024,16143,-599.0,-3.5778282164615933,2.0,1
KMP North,2024,17310,568.0,3.3926651535061527,2.0,0
KMP North,2023,15956,36.0,0.22613065326633164,3.0,1
KMP North,2023,15401,-519.0,-3.2600502512562817,3.0,1
KMP North,2023,14307,-1613.0,-10.131909547738694,3.0,1
KMP North,2023,16068,148.0,0.9296482412060301,3.0,1
KMP North,2023,15289,-631.0,-3.9635678391959797,3.0,0
KMP North,2023,15828,-92.0,-0.5778894472361809,3.0,1
KMP North,2023,16321,401.0,2.5188442211055277,3.0,1
KMP North,2023,16609,689.0,4.32788944723618,3.0,1
KMP North,2023,15541,-379.0,-2.380653266331658,3.0,1
KMP North,2023,15399,-521.0,-3.2726130653266328,3.0,1
KMP North,2023,14916,-1004.0,-6.306532663316583,3.0,1
KMP North,2023,16650,730.0,4.585427135678391,3.0,1
KMP North,2023,17609,1689.0,10.609296482412061,3.0,1
KMP North,2023,16741,821.0,5.157035175879397,3.0,1
KMP North,2023,16928,1008.0,6.331658291457286,3.0,0
KMP North,2023,15356,-564.0,-3.542713567839196,3.0,1
KMP North,2023,16273,353.0,2.2173366834170856,3.0,1
KMP North,2023,16536,616.0,3.869346733668342,3.0,0
KMP North,2023,13339,-2581.0,-16.212311557788944,3.0,1
KMP North,2023,15104,-816.0,-5.125628140703518,3.0,1
KMP North,2022,18053,1362.0,8.160086274039902,2.0,1
KMP North,2022,15497,-1194.0,-7.153555808519561,2.0,0
KMP North,2022,17893,1202.0,7.201485830687197,2.0,1
KMP North,2022,15492,-1199.0,-7.1835120723743335,2.0,1
KMP North,2022,15871,-820.0,-4.912827272182613,2.0,0
KMP North,2022,17076,385.0,2.3066323168174465,2.0,1
KMP North,2022,16749,58.0,0.34749266071535556,2.0,1
KMP North,2022,16369,-322.0,-1.929183392247319,2.0,1
KMP North,2022,18014,1323.0,7.92642741597268,2.0,1
KMP North,2022,15657,-1034.0,-6.194955365166856,2.0,1
KMP North,2022,16564,-127.0,-0.7608891019112096,2.0,1
KMP North,2022,17181,490.0,2.9357138577676594,2.0,1
KMP North,2022,16925,234.0,1.4019531484033312,2.0,0
KMP North,2022,16171,-520.0,-3.1154514408962912,2.0,1
KMP North,2022,16199,-492.0,-2.9476963633095683,2.0,1
KMP North,2022,17400,709.0,4.247798214606674,2.0,1
KMP North,2022,17441,750.0,4.4934395782158045,2.0,1
KMP North,2022,16947,256.0,1.533760709364328,2.0,1
KMP North,2022,15999,-692.0,-4.145946917500449,2.0,1
KMP North,2022,16223,-468.0,-2.8039062968066624,2.0,1
KMP North,2021,12291,-13.0,-0.10565669700910274,1.0,1
KMP North,2021,12376,72.0,0.5851755526657998,1.0,1
KMP North,2021,12640,336.0,2.7308192457737324,1.0,1
KMP North,2021,12179,-125.0,-1.01592977893368,1.0,1
KMP North,2021,12811,507.0,4.120611183355007,1.0,1
KMP North,2021,12804,500.0,4.06371911573472,1.0,1
KMP North,2021,13107,803.0,6.526332899869961,1.0,1
KMP North,2021,12316,12.0,0.0975292587776333,1.0,1
KMP North,2021,12503,199.0,1.6173602080624188,1.0,1
KMP North,2021,12223,-81.0,-0.6583224967490248,1.0,1
KMP North,2021,11800,-504.0,-4.096228868660598,1.0,1
KMP North,2021,13591,1287.0,10.460013003901171,1.0,1
KMP North,2021,13016,712.0,5.786736020806242,1.0,1
KMP North,2021,12791,487.0,3.9580624187256177,1.0,1
KMP North,2021,12296,-8.0,-0.06501950585175553,1.0,0
KMP North,2021,11752,-552.0,-4.486345903771132,1.0,1
KMP North,2021,12903,599.0,4.868335500650195,1.0,1
KMP North,2021,12213,-91.0,-0.7395968790637192,1.0,1
KMP North,2021,12558,254.0,2.064369310793238,1.0,1
KMP North,2021,11957,-347.0,-2.820221066319896,1.0,1
KMP North,2020,11891,143.0,1.2172284644194757,2.0,0
KMP North,2020,11450,-298.0,-2.536601974804222,2.0,1
KMP North,2020,11471,-277.0,-2.3578481443649983,2.0,0
KMP North,2020,11884,136.0,1.1576438542730678,2.0,1
KMP North,2020,10897,-851.0,-7.243786176370446,2.0,1
KMP North,2020,10921,-827.0,-7.039496084439905,2.0,1
KMP North,2020,11325,-423.0,-3.600612870275792,2.0,1
KMP North,2020,11622,-126.0,-1.0725229826353422,2.0,1
KMP North,2020,12251,503.0,4.281579843377596,2.0,1
KMP North,2020,11654,-94.0,-0.8001361933946204,2.0,1
KMP North,2020,11737,-11.0,-0.09363295880149813,2.0,0
KMP North,2020,11578,-170.0,-1.4470548178413347,2.0,1
KMP North,2020,11937,189.0,1.6087844739530133,2.0,1
KMP North,2020,11262,-486.0,-4.136874361593463,2.0,1
KMP North,2020,11684,-64.0,-0.5447735784814436,2.0,1
KMP North,2020,11983,235.0,2.000340483486551,2.0,1
KMP North,2020,11879,131.0,1.115083418454205,2.0,0
KMP North,2020,11755,7.0,0.0595846101464079,2.0,1
KMP North,2020,11762,14.0,0.1191692202928158,2.0,1
KMP North,2020,12040,292.0,2.4855294518215865,2.0,1
KMP North,2019,13044,1267.0,10.758257620786278,5.0,1
KMP North,2019,11325,-452.0,-3.837989301180267,5.0,1
KMP North,2019,13066,1289.0,10.945062409781778,5.0,1
KMP North,2019,11301,-476.0,-4.041776343720812,5.0,1
KMP North,2019,10526,-1251.0,-10.622399592425914,5.0,1
KMP North,2019,11467,-310.0,-2.6322492994820412,5.0,0
KMP North,2019,11978,201.0,1.7067164812770657,5.0,1
KMP North,2019,12881,1104.0,9.374203956865076,5.0,1
KMP North,2019,11247,-530.0,-4.500297189437038,5.0,1
KMP North,2019,12066,289.0,2.4539356372590646,5.0,1
KMP North,2019,10999,-778.0,-6.606096629022671,5.0,1
KMP North,2019,12855,1078.0,9.153434660779485,5.0,1
KMP North,2019,12471,694.0,5.892841980130763,5.0,1
KMP North,2019,11500,-277.0,-2.352042115988792,5.0,1
KMP North,2019,10768,-1009.0,-8.567546913475418,5.0,1
KMP North,2019,12574,797.0,6.767428037700602,5.0,1
KMP North,2019,11709,-68.0,-0.5773966205315445,5.0,1
KMP North,2019,12505,728.0,6.181540290396536,5.0,1
KMP North,2019,11780,3.0,0.02547338031756814,5.0,1
KMP North,2019,11804,27.0,0.2292604228581133,5.0,1
North Kyoga,2024,15854,-366.0,-2.256473489519112,3.0,1
North Kyoga,2024,16725,505.0,3.1134401972872996,3.0,1
North Kyoga,2024,16317,97.0,0.5980271270036992,3.0,1
North Kyoga,2024,16637,417.0,2.5709001233045625,3.0,1
North Kyoga,2024,14975,-1245.0,-7.675709001233046,3.0,1
North Kyoga,2024,17256,1036.0,6.3871763255240435,3.0,1
North Kyoga,2024,17477,1257.0,7.749691738594327,3.0,1
North Kyoga,2024,16313,93.0,0.5733662145499384,3.0,1
North Kyoga,2024,17891,1671.0,10.30209617755857,3.0,1
North Kyoga,2024,17643,1423.0,8.7731196054254,3.0,1
North Kyoga,2024,16743,523.0,3.2244143033292234,3.0,1
North Kyoga,2024,17329,1109.0,6.837237977805179,3.0,1
North Kyoga,2024,17078,858.0,5.2897657213316895,3.0,1
North Kyoga,2024,14793,-1427.0,-8.797780517879161,3.0,1
North Kyoga,2024,16001,-219.0,-1.3501849568434032,3.0,1
North Kyoga,2024,16801,581.0,3.581997533908755,3.0,1
North Kyoga,2024,17540,1320.0,8.138101109741061,3.0,1
North Kyoga,2024,15100,-1120.0,-6.90505548705302,3.0,1
North Kyoga,2024,14838,-1382.0,-8.520345252774353,3.0,1
North Kyoga,2024,16174,-46.0,-0.2836004932182491,3.0,1
North Kyoga,2023,16134,-1861.0,-10.341761600444569,1.0,1
North Kyoga,2023,17914,-81.0,-0.45012503473187,1.0,1
North Kyoga,2023,18324,329.0,1.828285634898583,1.0,1
North Kyoga,2023,17149,-846.0,-4.701305918310642,1.0,1
North Kyoga,2023,17938,-57.0,-0.3167546540705752,1.0,1
North Kyoga,2023,18854,859.0,4.77354820783551,1.0,1
North Kyoga,2023,17517,-478.0,-2.656293414837455,1.0,1
North Kyoga,2023,17281,-714.0,-3.9677688246735205,1.0,0
North Kyoga,2023,17898,-97.0,-0.5390386218393999,1.0,1
North Kyoga,2023,17063,-932.0,-5.179216449013615,1.0,1
North Kyoga,2023,19762,1767.0,9.81939427618783,1.0,0
North Kyoga,2023,18026,31.0,0.17227007502083913,1.0,1
North Kyoga,2023,17365,-630.0,-3.500972492358988,1.0,1
North Kyoga,2023,18187,192.0,1.0669630452903585,1.0,1
North Kyoga,2023,17893,-102.0,-0.5668241178105029,1.0,1
North Kyoga,2023,17796,-199.0,-1.1058627396499028,1.0,1
North Kyoga,2023,17517,-478.0,-2.656293414837455,1.0,1
North Kyoga,2023,17476,-519.0,-2.8841344818005004,1.0,1
North Kyoga,2023,16631,-1364.0,-7.579883300916921,1.0,1
North Kyoga,2023,19224,1229.0,6.829674909697138,1.0,1
North Kyoga,2022,18112,507.0,2.8798636750923032,1.0,1
North Kyoga,2022,17878,273.0,1.5506958250497018,1.0,1
North Kyoga,2022,17492,-113.0,-0.6418631070718546,1.0,1
North Kyoga,2022,16763,-842.0,-4.782732178358421,1.0,1
North Kyoga,2022,16939,-666.0,-3.7830161885827893,1.0,0
North Kyoga,2022,16353,-1252.0,-7.111616018176655,1.0,1
North Kyoga,2022,17035,-570.0,-3.2377165577960803,1.0,1
North Kyoga,2022,16652,-953.0,-5.413234876455553,1.0,1
North Kyoga,2022,19090,1485.0,8.435103663731894,1.0,1
North Kyoga,2022,18381,776.0,4.407838682192558,1.0,1
North Kyoga,2022,17673,68.0,0.38625390514058505,1.0,1
North Kyoga,2022,16846,-759.0,-4.311275205907412,1.0,1
North Kyoga,2022,16691,-914.0,-5.191706901448452,1.0,1
North Kyoga,2022,17437,-168.0,-0.9542743538767396,1.0,1
North Kyoga,2022,18420,815.0,4.629366657199659,1.0,1
North Kyoga,2022,19285,1680.0,9.542743538767395,1.0,1
North Kyoga,2022,16373,-1232.0,-6.998011928429423,1.0,1
North Kyoga,2022,18100,495.0,2.811701221243965,1.0,1
North Kyoga,2022,17032,-573.0,-3.254757171258165,1.0,1
North Kyoga,2022,17176,-429.0,-2.436807725078103,1.0,1
North Kyoga,2021,11512,27.0,0.2350892468437092,3.0,1
North Kyoga,2021,11007,-478.0,-4.161950370047888,3.0,1
North Kyoga,2021,11347,-138.0,-1.2015672616456248,3.0,1
North Kyoga,2021,10963,-522.0,-4.545058772311711,3.0,1
North Kyoga,2021,11153,-332.0,-2.890727035263387,3.0,1
North Kyoga,2021,11918,433.0,3.770134958641706,3.0,1
North Kyoga,2021,11542,57.0,0.49629952111449716,3.0,1
North Kyoga,2021,11916,431.0,3.752720940356987,3.0,1
North Kyoga,2021,11104,-381.0,-3.3173704832390074,3.0,1
North Kyoga,2021,11812,327.0,2.8471919895515887,3.0,1
North Kyoga,2021,10550,-935.0,-8.141053548106225,3.0,1
North Kyoga,2021,11512,27.0,0.2350892468437092,3.0,1
North Kyoga,2021,11851,366.0,3.1867653461036136,3.0,1
North Kyoga,2021,10530,-955.0,-8.315193730953418,3.0,1
North Kyoga,2021,11110,-375.0,-3.2651284283848496,3.0,1
North Kyoga,2021,11512,27.0,0.2350892468437092,3.0,1
North Kyoga,2021,12062,577.0,5.023944275141489,3.0,1
North Kyoga,2021,11153,-332.0,-2.890727035263387,3.0,1
North Kyoga,2021,11789,304.0,2.646930779277318,3.0,1
North Kyoga,2021,12312,827.0,7.200696560731388,3.0,1
North Kyoga,2020,10186,285.0,2.8784971215028787,5.0,1
North Kyoga,2020,9800,-101.0,-1.02009897990102,5.0,1
North Kyoga,2020,10084,183.0,1.8482981517018482,5.0,1
North Kyoga,2020,9601,-300.0,-3.02999697000303,5.0,1
North Kyoga,2020,9943,42.0,0.4241995758004242,5.0,1
North Kyoga,2020,9823,-78.0,-0.7877992122007879,5.0,1
North Kyoga,2020,10068,167.0,1.6866983133016866,5.0,1
North Kyoga,2020,9697,-204.0,-2.06039793960206,5.0,1
North Kyoga,2020,10096,195.0,1.9694980305019694,5.0,1
North Kyoga,2020,9692,-209.0,-2.1108978891021106,5.0,1
North Kyoga,2020,10332,431.0,4.353095646904353,5.0,1
North Kyoga,2020,9739,-162.0,-1.6361983638016362,5.0,1
North Kyoga,2020,8892,-1009.0,-10.19088980911019,5.0,1
North Kyoga,2020,9401,-500.0,-5.0499949500050505,5.0,1
North Kyoga,2020,9910,9.0,0.09089990910009091,5.0,1
North Kyoga,2020,10730,829.0,8.372891627108373,5.0,1
North Kyoga,2020,10311,410.0,4.140995859004141,5.0,1
North Kyoga,2020,8806,-1095.0,-11.05948894051106,5.0,1
North Kyoga,2020,9169,-732.0,-7.393192606807393,5.0,1
North Kyoga,2020,10467,566.0,5.716594283405716,5.0,1
North Kyoga,2019,13765,422.0,3.1627070373978863,2.0,1
North Kyoga,2019,14857,1514.0,11.346773589147869,2.0,1
North Kyoga,2019,13036,-307.0,-2.3008318968747656,2.0,1
North Kyoga,2019,12776,-567.0,-4.249419171100952,2.0,1
North Kyoga,2019,13390,47.0,0.3522446226485798,2.0,1
North Kyoga,2019,13024,-319.0,-2.390766694146744,2.0,1
North Kyoga,2019,14035,692.0,5.186239976017387,2.0,1
North Kyoga,2019,13002,-341.0,-2.555647155812036,2.0,1
North Kyoga,2019,13162,-181.0,-1.3565165255189988,2.0,1
North Kyoga,2019,12690,-653.0,-4.893951884883459,2.0,1
North Kyoga,2019,13848,505.0,3.7847560518624,2.0,1
North Kyoga,2019,12727,-616.0,-4.616652926628195,2.0,1
North Kyoga,2019,13618,275.0,2.061005770816158,2.0,1
North Kyoga,2019,14595,1252.0,9.383197182043018,2.0,1
North Kyoga,2019,12156,-1187.0,-8.896050363486472,2.0,1
North Kyoga,2019,14341,998.0,7.479577306452821,2.0,1
North Kyoga,2019,13529,186.0,1.3939893577156561,2.0,1
North Kyoga,2019,12592,-751.0,-5.628419395937945,2.0,1
North Kyoga,2019,13415,72.0,0.5396087836318669,2.0,1
North Kyoga,2019,13827,484.0,3.6273701566364385,2.0,1
KMP South,2024,14746,-607.0,-3.9536246987559434,4.0,1
KMP South,2024,15714,361.0,2.3513319872337655,4.0,1
KMP South,2024,16576,1223.0,7.965869862567576,4.0,1
KMP South,2024,14960,-393.0,-2.5597603074317723,4.0,1
KMP South,2024,14593,-760.0,-4.950172604702664,4.0,1
KMP South,2024,15256,-97.0,-0.6317983456002084,4.0,1
KMP South,2024,15395,42.0,0.27356217025988405,4.0,1
KMP South,2024,16192,839.0,5.464730020191493,4.0,1
KMP South,2024,15231,-122.0,-0.7946329707549012,4.0,1
KMP South,2024,15025,-328.0,-2.136390282029571,4.0,0
KMP South,2024,14576,-777.0,-5.060900149807855,4.0,1
KMP South,2024,14082,-1271.0,-8.278512342864587,4.0,1
KMP South,2024,14362,-991.0,-6.454764541132025,4.0,1
KMP South,2024,14358,-995.0,-6.4808180811567775,4.0,1
KMP South,2024,15153,-200.0,-1.3026770012375433,4.0,1
KMP South,2024,14199,-1154.0,-7.516446297140623,4.0,1
KMP South,2024,13282,-2071.0,-13.48922034781476,4.0,1
KMP South,2024,15311,-42.0,-0.27356217025988405,4.0,1
KMP South,2024,16772,1419.0,9.242493323780367,4.0,0
KMP South,2024,16217,864.0,5.627564645346187,4.0,1
KMP South,2023,15141,-207.0,-1.3487099296325256,4.0,0
KMP South,2023,14498,-850.0,-5.538180870471723,4.0,1
KMP South,2023,17322,1974.0,12.861610633307272,4.0,0
KMP South,2023,15393,45.0,0.29319781078967944,4.0,1
KMP South,2023,15500,152.0,0.9903570497784727,4.0,1
KMP South,2023,15237,-111.0,-0.7232212666145427,4.0,1
KMP South,2023,15322,-26.0,-0.16940317956737036,4.0,1
KMP South,2023,14930,-418.0,-2.7234818868908004,4.0,0
KMP South,2023,15152,-196.0,-1.2770393536617148,4.0,1
KMP South,2023,16502,1154.0,7.5188949700286685,4.0,1
KMP South,2023,16304,956.0,6.228824602554079,4.0,1
KMP South,2023,13756,-1592.0,-10.372686995048214,4.0,1
KMP South,2023,14267,-1081.0,-7.043262965858743,4.0,1
KMP South,2023,14751,-597.0,-3.8897576231430806,4.0,1
KMP South,2023,16066,718.0,4.678133958821997,4.0,0
KMP South,2023,16323,975.0,6.352619233776388,4.0,1
KMP South,2023,15901,553.0,3.6030753192598386,4.0,0
KMP South,2023,14481,-867.0,-5.648944487881157,4.0,1
KMP South,2023,14945,-403.0,-2.6257492832942404,4.0,1
KMP South,2023,15723,375.0,2.4433150899139955,4.0,1
KMP South,2022,14317,-175.0,-1.2075627932652497,3.0,1
KMP South,2022,14220,-272.0,-1.8768975986751308,3.0,1
KMP South,2022,14230,-262.0,-1.8078940104885453,3.0,1
KMP South,2022,15332,840.0,5.796301407673199,3.0,1
KMP South,2022,14921,429.0,2.960253933204527,3.0,0
KMP South,2022,14267,-225.0,-1.5525807341981783,3.0,0
KMP South,2022,14728,236.0,1.6284846812034226,3.0,1
KMP South,2022,13585,-907.0,-6.258625448523324,3.0,1
KMP South,2022,14113,-379.0,-2.615235992271598,3.0,1
KMP South,2022,15252,760.0,5.244272702180513,3.0,1
KMP South,2022,13364,-1128.0,-7.7836047474468675,3.0,1
KMP South,2022,14931,439.0,3.0292575213911124,3.0,1
KMP South,2022,12983,-1509.0,-10.412641457355782,3.0,1
KMP South,2022,15721,1229.0,8.480540988131382,3.0,1
KMP South,2022,14097,-395.0,-2.7256417333701353,3.0,1
KMP South,2022,14781,289.0,1.9942036985923266,3.0,1
KMP South,2022,14574,82.0,0.5658294231300027,3.0,1
KMP South,2022,14600,108.0,0.7452387524151256,3.0,0
KMP South,2022,14715,223.0,1.5387800165608612,3.0,1
KMP South,2022,13252,-1240.0,-8.556444935136627,3.0,1
KMP South,2021,10086,85.0,0.84991500849915,6.0,1
KMP South,2021,9908,-93.0,-0.9299070092990701,6.0,1
KMP South,2021,9731,-270.0,-2.6997300269973006,6.0,0
KMP South,2021,9611,-390.0,-3.8996100389961006,6.0,1
KMP South,2021,10098,97.0,0.96990300969903,6.0,1
KMP South,2021,9511,-490.0,-4.899510048995101,6.0,1
KMP South,2021,10515,514.0,5.139486051394861,6.0,1
KMP South,2021,10237,236.0,2.35976402359764,6.0,0
KMP South,2021,10129,128.0,1.2798720127987202,6.0,1
KMP South,2021,10492,491.0,4.909509049095091,6.0,1
KMP South,2021,9080,-921.0,-9.209079092090791,6.0,1
KMP South,2021,9361,-640.0,-6.3993600639936,6.0,0
KMP South,2021,10259,258.0,2.57974202579742,6.0,0
KMP South,2021,9638,-363.0,-3.62963703629637,6.0,1
KMP South,2021,9695,-306.0,-3.05969403059694,6.0,1
KMP South,2021,9297,-704.0,-7.039296070392961,6.0,1
KMP South,2021,9513,-488.0,-4.879512048795121,6.0,1
KMP South,2021,10527,526.0,5.25947405259474,6.0,1
KMP South,2021,10247,246.0,2.4597540245975402,6.0,1
KMP South,2021,10093,92.0,0.91990800919908,6.0,1
KMP South,2020,9261,-275.0,-2.8838087248322144,6.0,1
KMP South,2020,9594,58.0,0.6082214765100671,6.0,1
